UID,SITE_ID,VISIT_NO,DEPTH,TEMPERATURE,OXYGEN,PH,CONDUCTIVITY,INDEX_SITE_DEPTH,AREA_HA,LAT_DD83,LON_DD83
2010177,NLA17_NV-10018,1,0,22.1,6.4,7.59,2063,4.2,7.933418,39.54188,-119.7789
2010177,NLA17_NV-10018,1,1,21.6,6.4,7.59,2064,4.2,7.933418,39.54188,-119.7789
2010177,NLA17_NV-10018,1,2,21.4,6.3,7.59,2062,4.2,7.933418,39.54188,-119.7789
2010177,NLA17_NV-10018,1,3,21.4,6.3,7.59,2063,4.2,7.933418,39.54188,-119.7789
2010177,NLA17_NV-10018,1,0,22.4,6.4,7.61,2064,4.2,7.933418,39.54188,-119.7789
2010177,NLA17_NV-10018,1,3.7,21.4,6.2,7.58,2062,4.2,7.933418,39.54188,-119.7789
2010178,NLA17_NV-10036,1,0,19.4,15.6,9.35,304,2.6,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,NA,NA,NA,NA,NA,NA,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,0.5,19.4,15.4,9.31,306,2.6,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,1,18.4,9.6,8.13,325,2.6,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,1.5,17.5,4.5,7.62,345,2.6,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,0,19.3,16,9.41,303,2.6,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,2,16.5,1.4,6.92,593,2.6,2.288759,39.4578,-119.7898
2010178,NLA17_NV-10036,1,2.1,15.9,0.7,6.67,746,2.6,2.288759,39.4578,-119.7898
2010179,NLA17_ND-10011,1,0,15.4,10.1,8.84,3122,2.7,35.57998,47.17341,-99.77111
2010179,NLA17_ND-10011,1,0.5,15.4,10.1,8.83,3124,2.7,35.57998,47.17341,-99.77111
2010179,NLA17_ND-10011,1,1,15.4,10.1,8.83,3150,2.7,35.57998,47.17341,-99.77111
2010179,NLA17_ND-10011,1,1.5,15.4,10.1,8.83,3153,2.7,35.57998,47.17341,-99.77111
2010179,NLA17_ND-10011,1,2,15.4,10.2,8.84,3156,2.7,35.57998,47.17341,-99.77111
2010179,NLA17_ND-10011,1,2.5,15.3,10.3,8.84,3175,2.7,35.57998,47.17341,-99.77111
2010180,NLA17_NV-10242,1,0,20.8,7.17,9.43,29030,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,1,20,7.58,9.43,29970,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,10,14.7,7.67,9.44,32110,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,11,14.3,7.29,9.44,32140,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,12,13.9,4.63,9.44,32210,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,13,13.5,2.5,9.44,32310,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,14,12.9,1.05,9.44,32600,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,15,12.3,0.79,9.44,32870,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,15.5,12.1,1.06,9.44,32900,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,2,20.1,7.34,9.43,30030,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,3,19.7,7.52,9.43,30200,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,0,21.3,6.97,9.43,29150,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,4,19.7,7.38,9.43,30120,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,5,19.3,7.32,9.43,30530,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,6,17.8,7.73,9.43,31080,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,7,16.3,6.85,9.44,31780,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,8,15.6,7.04,9.44,31980,16,14378.43,38.69493,-118.7144
2010180,NLA17_NV-10242,1,9,15,7.67,9.44,32070,16,14378.43,38.69493,-118.7144
2010181,NLA17_OH-10016,1,0,18.7,10.8,8.18,212.8,2.9,1.196706,41.49185,-81.17701
2010181,NLA17_OH-10016,1,0.5,17.8,11,8.19,213.3,2.9,1.196706,41.49185,-81.17701
2010181,NLA17_OH-10016,1,1,15.7,4.5,7.2,230.7,2.9,1.196706,41.49185,-81.17701
2010181,NLA17_OH-10016,1,1.5,14.4,3.1,7.15,245.5,2.9,1.196706,41.49185,-81.17701
2010181,NLA17_OH-10016,1,2,12.9,0.2,7.11,294.7,2.9,1.196706,41.49185,-81.17701
2010181,NLA17_OH-10016,1,2.4,11,0.01,6.92,327.5,2.9,1.196706,41.49185,-81.17701
2010181,NLA17_OH-10016,1,0,18.7,10.6,8.23,216.7,2.9,1.196706,41.49185,-81.17701
2010182,NLA17_TN-10003,1,0,24.2,12.4,9.5,175,3.9,33.43314,35.67353,-87.03213
2010182,NLA17_TN-10003,1,1,23.4,8.7,8.9,175.2,3.9,33.43314,35.67353,-87.03213
2010182,NLA17_TN-10003,1,2,22.8,4.5,8.6,180,3.9,33.43314,35.67353,-87.03213
2010182,NLA17_TN-10003,1,3,22.2,1.8,8.3,184,3.9,33.43314,35.67353,-87.03213
2010182,NLA17_TN-10003,1,3.4,22,0.85,8.21,187,3.9,33.43314,35.67353,-87.03213
2010182,NLA17_TN-10003,1,0,NA,12.8,NA,NA,3.9,33.43314,35.67353,-87.03213
