SITE_ID,YEAR,PTL,NTL,CHLA,COLOR,SECMEAN
NLA06608-0001,2007,6,151,0.24,6,6.4
NLA06608-0002,2007,27.666666666666668,557,14.924333333333333,58.666666666666664,0.5
NLA06608-0003,2007,46.5,790.5,14.912,15,0.6
NLA06608-0004,2007,36,508,10.58,10.333333333333334,1.4
NLA06608-0005,2007,3,67,0.686,2.3333333333333335,NA
NLA06608-0006,2007,5.666666666666667,212,3.352,8.333333333333334,3.655
NLA06608-0007,2007,7.5,508,3.26,11,3.25
NLA06608-0008,2007,72.5,1163,89.22,10,0.6
NLA06608-0010,2007,10,502.3333333333333,3.6773333333333333,4.333333333333333,3.54
NLA06608-0012,2007,150.5,1039,13.09,31.5,0.29000000000000004
NLA06608-0013,2007,22.666666666666668,293.6666666666667,11.283666666666667,17,0.8500000000000001
NLA06608-0014,2007,170.33333333333334,4309.333333333333,17.916,24.333333333333332,0.74
NLA06608-0015,2007,102.33333333333333,449,15.904,5,0.375
NLA06608-0016,2007,28,626.3333333333334,15.426666666666668,4.333333333333333,0.52
NLA06608-0019,2007,1197,6409.333333333333,31.392,48,0.45
NLA06608-0020,2007,23.333333333333332,505,15.508666666666667,12,0.88
NLA06608-0021,2007,9,426.5,3.122,5,5.925
NLA06608-0023,2007,18,455.5,2.796,7.5,1.125
NLA06608-0024,2007,32,901.5,34.777,27.5,0.99
NLA06608-0025,2007,6.333333333333333,127,1.8123333333333334,9.666666666666666,3.5
NLA06608-0029,2007,188.66666666666666,2161.3333333333335,126.72,14.666666666666666,0.26
NLA06608-0031,2007,28,411,6.880000000000001,10.5,0.94
NLA06608-0033,2007,44.333333333333336,571.3333333333334,6.36,43.666666666666664,0.825
NLA06608-0036,2007,8.666666666666666,255.66666666666666,3.796333333333333,5,2.45
NLA06608-0037,2007,13,292.6666666666667,6.698666666666667,8.666666666666666,3.5
NLA06608-0038,2007,3.3333333333333335,124,3.026666666666667,10.333333333333334,5.2
NLA06608-0041,2007,1,415.3333333333333,1.0506666666666666,4,8.315000000000001
NLA06608-0042,2007,12.333333333333334,202,1.972,9,4.09
NLA06608-0043,2007,10,679.5,5.3629999999999995,15,1.65
NLA06608-0044,2007,559.3333333333334,6021.666666666667,137.10633333333334,32.333333333333336,0.11
NLA06608-0045,2007,57.666666666666664,522,20.8,21,0.9099999999999999
NLA06608-0048,2007,92.33333333333333,906.6666666666666,33.12866666666667,8.666666666666666,0.38
NLA06608-0049,2007,15,256,1.136,5,2.53
NLA06608-0050,2007,17,354.3333333333333,7.7973333333333334,35,1.3
NLA06608-0053,2007,24,260.5,5.632,6,0.95
NLA06608-0057,2007,206,1304.6666666666667,86.91866666666667,27.333333333333332,0.425
NLA06608-0061,2007,18.333333333333332,512.6666666666666,5.576,10,1.815
NLA06608-0062,2007,137.66666666666666,2926,45.794666666666664,19.333333333333332,1.58
NLA06608-0064,2007,1579,3701.3333333333335,25.958886666666665,23.666666666666668,0.37
NLA06608-0065,2007,2.5,69.25,0.76425,3.25,6.41
NLA06608-0066,2007,6.333333333333333,621.6666666666666,5.049666666666667,5.333333333333333,2.65
NLA06608-0068,2007,0.6666666666666666,142,0.6203333333333333,2.6666666666666665,7.300000000000001
NLA06608-0069,2007,44,648.3333333333334,5.269333333333334,91.66666666666667,0.6000000000000001
NLA06608-0071,2007,401.3333333333333,2359.3333333333335,192.96,12,0.38
NLA06608-0072,2007,175,1994.5,78.50399999999999,35,0.515
NLA06608-0073,2007,4772,1402.5,1.3370000000000002,2.5,10.2
NLA06608-0076,2007,30,623.6666666666666,23.093333333333334,10,0.95
NLA06608-0077,2007,151.66666666666666,1653.6666666666667,80.592,15.666666666666666,0.45
NLA06608-0078,2007,118.33333333333333,4527.333333333333,13.141333333333334,63.666666666666664,0.6699999999999999
NLA06608-0079,2007,5.666666666666667,110.33333333333333,1.6253333333333333,4.666666666666667,6.85
NLA06608-0080,2007,109.66666666666667,1022,65.136,10,0.485
NLA06608-0081,2007,25.333333333333332,823.6666666666666,40.51166666666667,33.333333333333336,3.9450000000000003
NLA06608-0083,2007,56,3891.6666666666665,5.354666666666667,28.333333333333332,NA
NLA06608-0085,2007,412.3333333333333,1371.6666666666667,27.653333333333332,18,0.125
NLA06608-0086,2007,27.666666666666668,647.3333333333334,40.016,6,1.52
NLA06608-0089,2007,32.666666666666664,404,25.119999999999997,4.666666666666667,1.225
NLA06608-0090,2007,14,350.6666666666667,2.2680000000000002,16.333333333333332,4.29
NLA06608-0091,2007,167,2216,125.1,12,0.27
NLA06608-0099,2007,8.5,612,3.63,9,2.85
NLA06608-0101,2007,1,63,0.695,9,9.6
