SITE_ID,YEAR,tsi_crust,tsi_rot,LAT_DD83,LON_DD83,ELEVATION,COLOR,NTL,PTL,CHLA,secchi,ts_group,ts
NLA17_AL-10001,2017,67.00560005072553,55.54399415468148,33.29204,-87.39138,57,18.5,0.868,46.8725,25.64,1.05,ncp_ts,eutro
NLA17_AL-10001,2017,67.00560005072553,55.54399415468148,33.29204,-87.39138,57,18.5,0.868,46.8725,25.64,1.05,chla_ts,eutro
NLA17_AL-10001,2017,67.00560005072553,55.54399415468148,33.29204,-87.39138,57,18.5,0.868,46.8725,25.64,1.05,ptl_ts,eutro
NLA17_AL-10001,2017,67.00560005072553,55.54399415468148,33.29204,-87.39138,57,18.5,0.868,46.8725,25.64,1.05,sdd_ts,eutro
NLA17_AL-10001,2017,67.00560005072553,55.54399415468148,33.29204,-87.39138,57,18.5,0.868,46.8725,25.64,1.05,rot_ts,eutro
NLA17_AL-10001,2017,67.00560005072553,55.54399415468148,33.29204,-87.39138,57,18.5,0.868,46.8725,25.64,1.05,crs_ts,hypereu
NLA17_AL-10002,2017,40.71869351547277,52.05124716557801,33.67333,-86.16453,141,7,0.534,54.03875,31.04,0.95,ncp_ts,eutro
NLA17_AL-10002,2017,40.71869351547277,52.05124716557801,33.67333,-86.16453,141,7,0.534,54.03875,31.04,0.95,chla_ts,eutro
NLA17_AL-10002,2017,40.71869351547277,52.05124716557801,33.67333,-86.16453,141,7,0.534,54.03875,31.04,0.95,ptl_ts,eutro
NLA17_AL-10002,2017,40.71869351547277,52.05124716557801,33.67333,-86.16453,141,7,0.534,54.03875,31.04,0.95,sdd_ts,eutro
NLA17_AL-10002,2017,40.71869351547277,52.05124716557801,33.67333,-86.16453,141,7,0.534,54.03875,31.04,0.95,rot_ts,meso-eutro
NLA17_AL-10002,2017,40.71869351547277,52.05124716557801,33.67333,-86.16453,141,7,0.534,54.03875,31.04,0.95,crs_ts,oligo-meso
NLA17_AL-10003,2017,61.82098895910066,52.660520762619555,32.51724,-87.787,22,35,0.776,100.4125,11.95,0.45,ncp_ts,mixo
NLA17_AL-10003,2017,61.82098895910066,52.660520762619555,32.51724,-87.787,22,35,0.776,100.4125,11.95,0.45,chla_ts,eutro
NLA17_AL-10003,2017,61.82098895910066,52.660520762619555,32.51724,-87.787,22,35,0.776,100.4125,11.95,0.45,ptl_ts,hypereu
NLA17_AL-10003,2017,61.82098895910066,52.660520762619555,32.51724,-87.787,22,35,0.776,100.4125,11.95,0.45,sdd_ts,hypereu
NLA17_AL-10003,2017,61.82098895910066,52.660520762619555,32.51724,-87.787,22,35,0.776,100.4125,11.95,0.45,rot_ts,meso-eutro
NLA17_AL-10003,2017,61.82098895910066,52.660520762619555,32.51724,-87.787,22,35,0.776,100.4125,11.95,0.45,crs_ts,eutro
