PUBLICATION_DATE,UID,SITE_ID,UNIQUE_ID,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,AREA_CAT6,AREA_HA,BORD_LAKE,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FED_NONFED,FEOW_ID,FRAME07,FRAME12,FRAME17,FRAME17_ID,FRAME17_IDs,FRAME22_ID,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAKE_ORGN,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,MIS_BAS_NM,MIS_BASIN,MISS_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,NES_ID,NES_SITE,OWN_NARS,PERIM_KM,PERM_ID,PSTL_CODE,REACHCODE,SOURCE,STATE_PCT,STATECTY,STATES,TNT_CAT,URBN_NLA07,URBN_NLA17,URBN_NLA22,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,XCOORD,YCOORD,FRAME22,PANEL_USE,PROB_CAT,STRATUM,WGT_CAT_NR,WGT_DSGN,WGT_TP_EXT_NLA,WGT_CAT_NR_NLA,WGT_TP_CORE_NLA,WGT_TP_NES,WGT_CAT_NES,STUDY,DATE_COL,SITESAMP,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH
8/13/2024,2020798,NES22-10035,NLA_AL-10007,EHIGH,Eastern Highlands,SAP,Southern Appalachians,>50,5061.676057,Not_Border,Shelby,166745462,Lake/Pond: Hydrographic Category = Perennial,141,Region_04,Target_Sampled,39004,Non-Federal,153,Include,Not Present,Include2017,378537,"78,649,378,537",137136,Not_USFS,LakePond,121443,None,H03W,South Atlantic-West Region,H03150107,Lower Coosa,MAN_MADE,33.09780391,-86.48006432,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,NONE,0106XX,Y,Non Federal,495.5251694,120024200,AL,R03150107006654,NHDPlusHR,100,FF01117,AL,Target,Urban,Urban,Urban,45,Piedmont,45a,Southern Inner Piedmont,881537.7821,1158400.827,,,,,,,0,,0,2.5,AL,NES,7/13/2022,YES,1,33.05728,-86.51943,17.4
8/13/2024,2020803,NES22-10043,NLA_AL-10011,EHIGH,Eastern Highlands,SAP,Southern Appalachians,>50,389.2893997,Not_Border,Shelby,21654558,Lake/Pond: Hydrographic Category = Perennial,189,Region_04,Target_Sampled,39004,Non-Federal,153,Include,Include,Include2017,76630,76630,137095,Not_USFS,LakePond,127821,None,H03W,South Atlantic-West Region,H03150202,Cahaba,MAN_MADE,33.46835151,-86.64445451,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,NONE,0115XX,Y,Non Federal,36.47429632,90882825,AL,R03150202002869,NHDPlusHR,100,FF01117,AL,Target,Urban,Urban,Urban,67,Ridge and Valley,67f,Southern Limestone/Dolomite Valleys and Low Rolling Hills,862298.8159,1198059.994,,,,,,,0,,0,2.5,AL,NES,7/13/2022,YES,1,33.46861,-86.64433,8.4
8/13/2024,2020795,NES22-10039,NLA_AL-10019,EHIGH,Eastern Highlands,SAP,Southern Appalachians,>50,2185.44397,Not_Border,Coosa,166745462,Lake/Pond: Hydrographic Category = Perennial,126,Region_04,Target_Sampled,39004,Non-Federal,153,Include,Not Present,Include2017,378537,378537,138374,Not_USFS,LakePond,122906,None,H03W,South Atlantic-West Region,H03150107,Lower Coosa,MAN_MADE,32.75598701,-86.38310821,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,NONE,0108XX,Y,Non Federal,199.3601043,89422427,AL,R03150107008935,NHDPlusHR,100,FF01037,AL,Target,Non-Urban,Non-Urban,Non-Urban,45,Piedmont,45a,Southern Inner Piedmont,894338.6361,1121356.752,,,,,,,0,,0,2.5,AL,NES,7/13/2022,YES,1,32.63499,-86.28873,24.3
8/13/2024,0,NLA22_AL-10001,NLA_AL-10049,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(1,4]",3.447285155,Not_Border,Covington,892733,Lake/Pond: Hydrographic Category = Perennial,80,Region_04,Not_Lake,39004,Non-Federal,154,Exclude,Exclude,Include2017,73564,73564,128177,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03140103,Yellow,,31.24821,-86.45315,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,None,,N,Non Federal,0.962543084,41005425,AL,R03140103002052,NHDPlusHR,100,F1039,AL,NonTarget,Urban,Urban,Urban,65,Southeastern Plains,65f,Southern Pine Plains and Hills,904694.6343,-653229.9607,Include,NLA22_17RVT2FT,"(1,4]",AL,"AL_(1,4]",486.0191178,297.4722222,"AL_(1,4]",0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10002,NLA_AL-10050,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(1,4]",3.133129005,Not_Border,DeKalb,136274206,Lake/Pond: Hydrographic Category = Perennial,394,Region_04,Target_Denied,39004,Non-Federal,153,Excluded,Excluded,Include2017,383591,383591,136061,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150105,Upper Coosa,MAN_MADE,34.3864,-85.67056,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,None,,N,Non Federal,1.152261212,136274206,AL,R03150105008188,NHDPlusHR,100,F1049,AL,Target,Non-Urban,Non-Urban,Non-Urban,68,Southwestern Appalachians,68d,Southern Table Plateaus,940596.7138,-297447.5889,Include,NLA22_17RVT2FT,"(1,4]",AL,"AL_(1,4]",1280.78813,297.4722222,"AL_(1,4]",0,0,,NLA,,,,,,
8/13/2024,2020808,NLA22_AL-10003,NLA_AL-10051,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(10,20]",14.72184469,Not_Border,Marengo,18541592,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,73,Region_04,Target_Sampled,39009,Non-Federal,153,Exclude,Exclude,Include2017,80295,80295,145221,Not_USFS,LakePond,122281,Marengo Lake,H03W,South Atlantic-West,H03160201,Middle Tombigbee-Chickasaw,MAN_MADE,32.21074,-87.75033,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,MARENGO LAKE,,N,Non Federal,2.649700927,149030986,AL,R03160201002842,NHDPlusHR,100,F1091,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65d,Southern Hilly Gulf Coastal Plain,772809.0977,-557955.8689,Include,NLA22_17BaseFT,"(10,20]",AL,"AL_(10,20]",21.55847898,42.63636364,"AL_(10,20]",207.4772727,0,,NLA,7/12/2022,YES,1,32.21124,-87.75001,5
8/13/2024,2021031,NLA22_AL-10003,NLA_AL-10051,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(10,20]",14.72184469,Not_Border,Marengo,18541592,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,73,Region_04,Target_Sampled,39009,Non-Federal,153,Exclude,Exclude,Include2017,80295,80295,145221,Not_USFS,LakePond,122281,Marengo Lake,H03W,South Atlantic-West,H03160201,Middle Tombigbee-Chickasaw,MAN_MADE,32.21074,-87.75033,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,MARENGO LAKE,,N,Non Federal,2.649700927,149030986,AL,R03160201002842,NHDPlusHR,100,F1091,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65d,Southern Hilly Gulf Coastal Plain,772809.0977,-557955.8689,Include,NLA22_17BaseFT,"(10,20]",AL,"AL_(10,20]",21.55847898,0,"AL_(10,20]",0,0,,NLA,7/27/2022,YES,2,32.21133,-87.74998,5
8/13/2024,2020807,NLA22_AL-10004,NLA_AL-10052,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(4,10]",4.060952,Not_Border,Baldwin,18240125,Lake/Pond: Hydrographic Category = Perennial,16,Region_04,Target_Sampled,39004,Non-Federal,153,Exclude,Exclude,Include2017,74258,74258,611958,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150204,Lower Alabama,NATURAL,31.21649,-87.82055,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,DUNN LAKE,,N,Non Federal,1.178924474,,AL,R03150204002095,NLA2012Frame Only,100,F1003,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65p,Southeastern Floodplains and Low Terraces,775765.1535,-668833.8352,Excluded,NLA22_17BaseFT,"(4,10]",AL,"AL_(4,10]",406.8808816,147.8571429,"AL_(4,10]",394.2857143,0,,NLA,7/13/2022,YES,1,31.21658,-87.82064,5
8/13/2024,2021759,NLA22_AL-10004,NLA_AL-10052,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(4,10]",4.060952,Not_Border,Baldwin,18240125,Lake/Pond: Hydrographic Category = Perennial,16,Region_04,Target_Sampled,39004,Non-Federal,153,Exclude,Exclude,Include2017,74258,74258,611958,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150204,Lower Alabama,NATURAL,31.21649,-87.82055,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,DUNN LAKE,,N,Non Federal,1.178924474,,AL,R03150204002095,NLA2012Frame Only,100,F1003,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65p,Southeastern Floodplains and Low Terraces,775765.1535,-668833.8352,Excluded,NLA22_17BaseFT,"(4,10]",AL,"AL_(4,10]",406.8808816,0,"AL_(4,10]",0,0,,NLA,9/14/2022,YES,2,31.2166,-87.82056,5.3
8/13/2024,2021063,NLA22_AL-10005,NLA_AL-10053,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(1,4]",3.545276395,Not_Border,Montgomery,21679902,Lake/Pond: Hydrographic Category = Perennial,99,Region_04,Target_Sampled,39004,Non-Federal,153,Exclude,Exclude,Include2017,76772,76772,138716,Not_USFS,LakePond,130256,W R Turnipseed Lake,H03W,South Atlantic-West,H03150201,Upper Alabama,MAN_MADE,32.18871,-86.04742,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,W R TURNISPEED LAKE,,N,Non Federal,1.061440032,95537083,AL,R03150201005555,NHDPlusHR,100,F1101,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65a,Blackland Prairie,932056.764,-545124.8709,Include,NLA22_17BaseFT,"(1,4]",AL,"AL_(1,4]",486.0191178,297.4722222,"AL_(1,4]",1239.467593,0,,NLA,7/28/2022,YES,1,32.18847,-86.04771,1.5
