PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,MATRIX,SAM_CODE,LAB,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_DILUTION_FACTOR,AMMONIA_N_HOLDING_TIME,AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_LAB_SAMPLE_ID,ANC_MDL,ANC_NARS_FLAG,ANC_QA_FLAG,ANC_RESULT,ANC_RL,ANC_UNITS,CALCIUM_DATE_ANALYZED,CALCIUM_DILUTION_FACTOR,CALCIUM_HOLDING_TIME,CALCIUM_LAB_SAMPLE_ID,CALCIUM_MDL,CALCIUM_NARS_FLAG,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CALCIUM_UNITS,CHLA_DATE_ANALYZED,CHLA_DILUTION_FACTOR,CHLA_EXTRACT,CHLA_EXTRACT_UNITS,CHLA_HOLDING_TIME,CHLA_LAB_SAMPLE_ID,CHLA_MDL,CHLA_NARS_FLAG,CHLA_QA_FLAG,CHLA_RESULT,CHLA_RESULT_UNITS,CHLA_RL,CHLA_SAMPLE_ID,CHLA_VOLUME_ADJUST,CHLA_VOLUME_FILTERED,CHLORIDE_DATE_ANALYZED,CHLORIDE_DILUTION_FACTOR,CHLORIDE_HOLDING_TIME,CHLORIDE_LAB_SAMPLE_ID,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_LAB_SAMPLE_ID,COLOR_NARS_FLAG,COLOR_QA_FLAG,COLOR_RESULT,COLOR_UNITS,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_LAB_SAMPLE_ID,COND_MDL,COND_NARS_FLAG,COND_QA_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_DATE_ANALYZED,DOC_DILUTION_FACTOR,DOC_HOLDING_TIME,DOC_LAB_SAMPLE_ID,DOC_MDL,DOC_NARS_FLAG,DOC_QA_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_DILUTION_FACTOR,MAGNESIUM_HOLDING_TIME,MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM_MDL,MAGNESIUM_NARS_FLAG,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,MAGNESIUM_UNITS,NITRATE_N_DATE_ANALYZED,NITRATE_N_DILUTION_FACTOR,NITRATE_N_HOLDING_TIME,NITRATE_N_LAB_SAMPLE_ID,NITRATE_N_MDL,NITRATE_N_NARS_FLAG,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_N_UNITS,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NITRITE_N_DATE_ANALYZED,NITRITE_N_DILUTION_FACTOR,NITRITE_N_HOLDING_TIME,NITRITE_N_LAB_SAMPLE_ID,NITRITE_N_MDL,NITRITE_N_NARS_FLAG,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NITRITE_N_UNITS,NTL_DATE_ANALYZED,NTL_DISS_DATE_ANALYZED,NTL_DISS_HOLDING_TIME,NTL_DISS_LAB_SAMPLE_ID,NTL_DISS_MDL,NTL_DISS_NARS_FLAG,NTL_DISS_QA_FLAG,NTL_DISS_RESULT,NTL_DISS_RL,NTL_DISS_UNITS,NTL_HOLDING_TIME,NTL_LAB_SAMPLE_ID,NTL_MDL,NTL_NARS_FLAG,NTL_QA_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_LAB_SAMPLE_ID,PH_NARS_FLAG,PH_QA_FLAG,PH_RESULT,PH_UNITS,POTASSIUM_DATE_ANALYZED,POTASSIUM_DILUTION_FACTOR,POTASSIUM_HOLDING_TIME,POTASSIUM_LAB_SAMPLE_ID,POTASSIUM_MDL,POTASSIUM_NARS_FLAG,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,POTASSIUM_UNITS,PTL_DATE_ANALYZED,PTL_DISS_DATE_ANALYZED,PTL_DISS_HOLDING_TIME,PTL_DISS_LAB_SAMPLE_ID,PTL_DISS_MDL,PTL_DISS_NARS_COMMENT,PTL_DISS_NARS_FLAG,PTL_DISS_QA_FLAG,PTL_DISS_RESULT,PTL_DISS_RL,PTL_DISS_UNITS,PTL_HOLDING_TIME,PTL_LAB_SAMPLE_ID,PTL_MDL,PTL_NARS_FLAG,PTL_QA_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_LAB_SAMPLE_ID,SILICA_MDL,SILICA_NARS_FLAG,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SILICA_UNITS,SODIUM_DATE_ANALYZED,SODIUM_DILUTION_FACTOR,SODIUM_HOLDING_TIME,SODIUM_LAB_SAMPLE_ID,SODIUM_MDL,SODIUM_NARS_FLAG,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SODIUM_UNITS,SULFATE_DATE_ANALYZED,SULFATE_DILUTION_FACTOR,SULFATE_HOLDING_TIME,SULFATE_LAB_SAMPLE_ID,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_LAB_SAMPLE_ID,TURB_MDL,TURB_NARS_FLAG,TURB_QA_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,UNIQUE_ID
8/13/2024,2020238,NLA22_AZ-10009,5/9/2022,1,AZ,WATER,REGULAR,WRS,5/12/2022,1,3,2210001,0.0005,,,0.008,0.004,mg N/L,5/11/2022,2,2210001,,,,1870,,UEQ/L,11/4/2022,1,179,2210001,0.011,,,29,0.05,mg/L,6/1/2022,,58.5,ug/L,23,2210001,0.18,,,4.68,ug/L,1,199161,,500,5/14/2022,1,5,2210001,0.004,,,6.3,0.06,mg/L,5/11/2022,2,2210001,,,19,APHA PT-CO,5/11/2022,2,2210001,1,,,217,2,uS/cm AT 25 C,5/31/2022,1,22,2210001,0.024,,,14.7,0.2,mg/L,11/4/2022,1,179,2210001,0.003,,,5.08,0.02,mg/L,5/14/2022,1,5,2210001,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,5/14/2022,1,5,2210001,0.0006,ND,MDL,,0.02,mg N/L,5/26/2022,5/26/2022,17,2210001,0.002,,,0.715,0.02,mg/L,17,2210001,0.002,,,0.899,0.02,mg/L,5/11/2022,2,2210001,,,8.73,Std. Units,11/4/2022,1,179,2210001,0.018,,,5.13,0.1,mg/L,5/26/2022,5/26/2022,17,2210001,0.48,,,,6,4,ug/L,17,2210001,0.48,,,24,4,ug/L,5/13/2022,4,2210001,0.0012,,,0.372,0.01,mg/L,11/4/2022,1,179,2210001,0.009,,,10.8,0.1,mg/L,5/14/2022,1,5,2210001,0.002,,,4.45,0.18,mg/L,5/11/2022,2,2210001,,,,2.67,2,NTU,NLA_AZ-10100
8/13/2024,2020241,NLA22_AZ-10026,5/11/2022,1,AZ,WATER,REGULAR,WRS,5/20/2022,1,9,2210002,0.0005,,,0.009,0.004,mg N/L,5/13/2022,2,2210002,,,,2530,,UEQ/L,11/4/2022,1,177,2210002,0.011,,,38.7,0.05,mg/L,6/1/2022,,152,ug/L,21,2210002,0.18,,,12.2,ug/L,1,199261,,500,5/14/2022,5,3,2210002,0.004,,,188,0.06,mg/L,5/13/2022,2,2210002,,,12,APHA PT-CO,5/13/2022,2,2210002,1,,,1030,2,uS/cm AT 25 C,5/31/2022,1,20,2210002,0.024,,,5.13,0.2,mg/L,11/4/2022,1,177,2210002,0.003,,,21.4,0.02,mg/L,5/14/2022,5,3,2210002,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,5/14/2022,5,3,2210002,0.0006,ND,MDL,,0.02,mg N/L,5/26/2022,5/26/2022,15,2210002,0.002,,,0.555,0.02,mg/L,15,2210002,0.002,,,0.785,0.02,mg/L,5/13/2022,2,2210002,,,8.56,Std. Units,11/4/2022,1,177,2210002,0.018,,,5.85,0.1,mg/L,5/26/2022,5/26/2022,15,2210002,0.48,,,,18.1,4,ug/L,15,2210002,0.48,,,50.6,4,ug/L,5/13/2022,2,2210002,0.0012,,,5.41,0.01,mg/L,11/4/2022,1,177,2210002,0.009,,,133,0.1,mg/L,5/14/2022,5,3,2210002,0.002,,,70.8,0.18,mg/L,5/13/2022,2,2210002,,,,4.86,2,NTU,NLA_AZ-10117
8/13/2024,2020242,NES22-10186,5/15/2022,1,CA,WATER,REGULAR,WRS,5/20/2022,1,5,2210004,0.0005,,,0.011,0.004,mg N/L,5/17/2022,2,2210004,,,,3680,,UEQ/L,11/4/2022,1,173,2210004,0.011,,,33.6,0.05,mg/L,6/1/2022,,623,ug/L,17,2210004,0.18,,,71.2,ug/L,1,216061,,350,5/20/2022,2,5,2210004,0.004,,,60.2,0.06,mg/L,5/17/2022,2,2210004,,,18,APHA PT-CO,5/17/2022,2,2210004,1,,,673,2,uS/cm AT 25 C,5/31/2022,1,16,2210004,0.024,,,9.11,0.2,mg/L,11/4/2022,1,173,2210004,0.003,,,13.7,0.02,mg/L,5/20/2022,2,5,2210004,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,5/20/2022,2,5,2210004,0.0006,ND,MDL,,0.02,mg N/L,6/8/2022,5/26/2022,11,2210004,0.002,,,0.856,0.02,mg/L,24,2210004,0.002,,,2.6,0.02,mg/L,5/17/2022,2,2210004,,,9.07,Std. Units,11/4/2022,1,173,2210004,0.018,,,4.04,0.1,mg/L,5/26/2022,5/26/2022,11,2210004,0.48,,,,70.6,4,ug/L,11,2210004,0.48,,,303,4,ug/L,5/19/2022,4,2210004,0.0012,,,20.1,0.01,mg/L,11/4/2022,1,173,2210004,0.009,,,95.1,0.1,mg/L,5/20/2022,2,5,2210004,0.002,,,63.2,0.18,mg/L,5/17/2022,2,2210004,,,,70.5,2,NTU,NLA_CA-10026
8/13/2024,2020243,NLA22_AZ-10032,5/16/2022,1,AZ,WATER,REGULAR,WRS,5/20/2022,1,4,2210003,0.0005,,,0.005,0.004,mg N/L,5/17/2022,1,2210003,,,,4310,,UEQ/L,11/4/2022,2,172,2210003,0.011,,,89.8,0.05,mg/L,6/1/2022,,77.5,ug/L,16,2210003,0.18,,,3.1,ug/L,1,199341,,1000,5/20/2022,10,4,2210003,0.004,,,189,0.06,mg/L,5/17/2022,1,2210003,,,18,APHA PT-CO,5/17/2022,1,2210003,1,,,1680,2,uS/cm AT 25 C,5/31/2022,1,15,2210003,0.024,,,3.57,0.2,mg/L,11/4/2022,2,172,2210003,0.003,,,39.1,0.02,mg/L,5/20/2022,10,4,2210003,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,5/20/2022,10,4,2210003,0.0006,ND,MDL,,0.02,mg N/L,5/26/2022,5/26/2022,10,2210003,0.002,,,0.285,0.02,mg/L,10,2210003,0.002,,,0.418,0.02,mg/L,5/17/2022,1,2210003,,,8.24,Std. Units,11/4/2022,2,172,2210003,0.018,,,6.59,0.1,mg/L,5/26/2022,5/26/2022,10,2210003,0.48,,,,19.7,4,ug/L,10,2210003,0.48,,,37.1,4,ug/L,5/19/2022,3,2210003,0.0012,,,22.7,0.01,mg/L,11/4/2022,2,172,2210003,0.009,,,204,0.1,mg/L,5/20/2022,10,4,2210003,0.002,,,351,0.18,mg/L,5/17/2022,1,2210003,,,,8.92,2,NTU,NLA_AZ-10122
8/13/2024,2020244,NLA22_AZ-10008,5/17/2022,1,AZ,WATER,REGULAR,WRS,5/20/2022,1,3,2210005,0.0005,,,0.004,0.004,mg N/L,5/21/2022,4,2210005,,,,2190,,UEQ/L,11/4/2022,1,171,2210005,0.011,,,58.2,0.05,mg/L,6/1/2022,,45.3,ug/L,15,2210005,0.18,,,5.18,ug/L,1,199301,,350,5/20/2022,2,3,2210005,0.004,,,17.2,0.06,mg/L,5/18/2022,1,2210005,,,6,APHA PT-CO,5/20/2022,3,2210005,1,,,444,2,uS/cm AT 25 C,5/31/2022,1,14,2210005,0.024,,,7.34,0.2,mg/L,11/4/2022,1,171,2210005,0.003,,,13.7,0.02,mg/L,5/20/2022,2,3,2210005,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,5/20/2022,2,3,2210005,0.0006,ND,MDL,,0.02,mg N/L,5/26/2022,5/26/2022,9,2210005,0.002,,,0.28,0.02,mg/L,9,2210005,0.002,,,0.354,0.02,mg/L,5/20/2022,3,2210005,,,8.26,Std. Units,11/4/2022,1,171,2210005,0.018,,,1.43,0.1,mg/L,5/26/2022,5/26/2022,9,2210005,0.48,,,,7.5,4,ug/L,9,2210005,0.48,,,15.4,4,ug/L,5/19/2022,2,2210005,0.0012,,,3.13,0.01,mg/L,11/4/2022,1,171,2210005,0.009,,,14.3,0.1,mg/L,5/20/2022,2,3,2210005,0.002,,,79.5,0.18,mg/L,5/20/2022,3,2210005,,,,2.22,2,NTU,NLA_AZ-10185
8/13/2024,2020250,NLA22_AZ-10050,5/18/2022,1,AZ,WATER,REGULAR,WRS,6/13/2022,1,26,2210007,0.0005,S,,0.024,0.004,mg N/L,5/21/2022,3,2210007,,S,,400,,UEQ/L,11/4/2022,1,170,2210007,0.011,S,,4.08,0.05,mg/L,6/1/2022,,201,ug/L,14,2210007,0.18,S,,134,ug/L,1,199321,,60,5/25/2022,1,7,2210007,0.004,S,,2.22,0.06,mg/L,5/21/2022,3,2210007,S,,30,APHA PT-CO,5/21/2022,3,2210007,1,S,,54.1,2,uS/cm AT 25 C,5/31/2022,1,13,2210007,0.024,S,,16.6,0.2,mg/L,11/4/2022,1,170,2210007,0.003,S,,2.37,0.02,mg/L,5/25/2022,1,7,2210007,0.0006,S;ND,MDL,,0.02,mg N/L,,,,,,,,,5/25/2022,1,7,2210007,0.0006,S;ND,MDL,,0.02,mg N/L,6/8/2022,5/26/2022,8,2210007,0.002,S,,1.14,0.02,mg/L,21,2210007,0.002,S,,3.88,0.02,mg/L,5/21/2022,3,2210007,S,,7.57,Std. Units,11/4/2022,1,170,2210007,0.018,S,,1.57,0.1,mg/L,6/8/2022,5/26/2022,8,2210007,0.48,,S,,28.8,4,ug/L,21,2210007,0.48,S,,381,4,ug/L,5/24/2022,6,2210007,0.0012,S,,2.8,0.01,mg/L,11/4/2022,1,170,2210007,0.009,S,,2.12,0.1,mg/L,5/25/2022,1,7,2210007,0.002,S;L,EST,0.032,0.18,mg/L,5/21/2022,3,2210007,,S,,37,2,NTU,NLA_AZ-10139
8/13/2024,2020254,NLA22_AZ-10006,5/19/2022,1,AZ,WATER,REGULAR,WRS,6/13/2022,1,25,2210008,0.0005,,,0.008,0.004,mg N/L,5/21/2022,2,2210008,,,,169,,UEQ/L,11/4/2022,1,169,2210008,0.011,,,3.12,0.05,mg/L,6/1/2022,,44.5,ug/L,13,2210008,0.18,,,3.56,ug/L,1,199221,,500,5/25/2022,1,6,2210008,0.004,,,14.1,0.06,mg/L,5/21/2022,2,2210008,,,15,APHA PT-CO,5/21/2022,2,2210008,1,,,73.3,2,uS/cm AT 25 C,5/31/2022,1,12,2210008,0.024,,,7.14,0.2,mg/L,11/4/2022,1,169,2210008,0.003,,,1.02,0.02,mg/L,5/25/2022,1,6,2210008,0.0006,,EST,0.0027,0.02,mg N/L,,,,,,,,,5/25/2022,1,6,2210008,0.0006,ND,MDL,,0.02,mg N/L,5/26/2022,5/26/2022,7,2210008,0.002,,,0.286,0.02,mg/L,7,2210008,0.002,,,0.38,0.02,mg/L,5/21/2022,2,2210008,,,7.26,Std. Units,11/4/2022,1,169,2210008,0.018,,,0.69,0.1,mg/L,5/26/2022,5/26/2022,7,2210008,0.48,,,,5.2,4,ug/L,7,2210008,0.48,,,12.5,4,ug/L,5/24/2022,5,2210008,0.0012,,,2.58,0.01,mg/L,11/4/2022,1,169,2210008,0.009,,,9.24,0.1,mg/L,5/25/2022,1,6,2210008,0.002,,,0.563,0.18,mg/L,5/21/2022,2,2210008,,,LRL,1.17,2,NTU,NLA_AZ-10183
8/13/2024,2020256,NES22-10198,5/20/2022,1,AZ,WATER,REGULAR,WRS,6/13/2022,1,24,2210006,0.0005,,,0.048,0.004,mg N/L,5/21/2022,1,2210006,,,,2090,,UEQ/L,11/4/2022,1,168,2210006,0.011,,,30.8,0.05,mg/L,6/1/2022,,67,ug/L,12,2210006,0.18,,,5.36,ug/L,1,216081,,500,5/25/2022,1,5,2210006,0.004,,,17.9,0.06,mg/L,5/21/2022,1,2210006,,,20,APHA PT-CO,5/21/2022,1,2210006,1,,,294,2,uS/cm AT 25 C,5/31/2022,1,11,2210006,0.024,,,9.24,0.2,mg/L,11/4/2022,1,168,2210006,0.003,,,10.8,0.02,mg/L,5/25/2022,1,5,2210006,0.0006,,,0.0465,0.02,mg N/L,,,,,,,,,5/25/2022,1,5,2210006,0.0006,,EST,0.005,0.02,mg N/L,5/26/2022,5/26/2022,6,2210006,0.002,,,0.65,0.02,mg/L,6,2210006,0.002,,,0.711,0.02,mg/L,5/21/2022,1,2210006,,,8.33,Std. Units,11/4/2022,1,168,2210006,0.018,,,4.19,0.1,mg/L,5/26/2022,5/26/2022,6,2210006,0.48,,,,8.9,4,ug/L,6,2210006,0.48,,,24.1,4,ug/L,5/24/2022,4,2210006,0.0012,,,1.61,0.01,mg/L,11/4/2022,1,168,2210006,0.009,,,13.2,0.1,mg/L,5/25/2022,1,5,2210006,0.002,,,7.61,0.18,mg/L,5/21/2022,1,2210006,,,,4.1,2,NTU,NLA_AZ-10015
8/13/2024,2020257,NLA22_AZ-10098,5/22/2022,1,AZ,WATER,REGULAR,WRS,6/13/2022,1,22,2210009,0.0005,,,0.027,0.004,mg N/L,5/24/2022,2,2210009,,,,3830,,UEQ/L,11/4/2022,1,166,2210009,0.011,,,50.4,0.05,mg/L,6/1/2022,,171,ug/L,10,2210009,0.18,,,11.4,ug/L,1,199181,,600,5/25/2022,2,3,2210009,0.004,,,26.5,0.06,mg/L,5/24/2022,2,2210009,,,26,APHA PT-CO,5/24/2022,2,2210009,1,,,477,2,uS/cm AT 25 C,5/31/2022,1,9,2210009,0.024,,,18.3,0.2,mg/L,11/4/2022,1,166,2210009,0.003,,,19,0.02,mg/L,5/25/2022,2,3,2210009,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,5/25/2022,2,3,2210009,0.0006,ND,MDL,,0.02,mg N/L,5/26/2022,5/26/2022,4,2210009,0.002,,,1.33,0.02,mg/L,4,2210009,0.002,,,1.49,0.02,mg/L,5/24/2022,2,2210009,,,8.7,Std. Units,11/4/2022,1,166,2210009,0.018,,,3.41,0.1,mg/L,5/26/2022,5/26/2022,4,2210009,0.48,,,,122,4,ug/L,4,2210009,0.48,,,153,4,ug/L,5/27/2022,5,2210009,0.0012,,,13.1,0.01,mg/L,11/4/2022,1,166,2210009,0.009,,,27.7,0.1,mg/L,5/25/2022,2,3,2210009,0.002,,,13.7,0.18,mg/L,5/24/2022,2,2210009,,,,3.21,2,NTU,NLA_AZ-10191
8/13/2024,2020259,NES22-10195,5/23/2022,1,AZ,WATER,REGULAR,WRS,6/13/2022,1,21,2210010,0.0005,,,0.035,0.004,mg N/L,5/24/2022,1,2210010,,,,4990,,UEQ/L,11/4/2022,1,165,2210010,0.011,,,56.2,0.05,mg/L,6/1/2022,,44.4,ug/L,9,2210010,0.18,,,7.1,ug/L,1,216101,,250,5/25/2022,2,2,2210010,0.004,,,19.3,0.06,mg/L,5/24/2022,1,2210010,,,15,APHA PT-CO,5/24/2022,1,2210010,1,,,579,2,uS/cm AT 25 C,5/31/2022,1,8,2210010,0.024,,,7.44,0.2,mg/L,11/4/2022,1,165,2210010,0.003,,,21.9,0.02,mg/L,5/25/2022,2,2,2210010,0.0006,,EST,0.0209,0.02,mg N/L,,,,,,,,,5/25/2022,2,2,2210010,0.0006,,EST,0.004,0.02,mg N/L,5/26/2022,5/26/2022,3,2210010,0.002,,,0.535,0.02,mg/L,3,2210010,0.002,,,0.639,0.02,mg/L,5/24/2022,1,2210010,,,8.56,Std. Units,11/4/2022,1,165,2210010,0.018,,,5.15,0.1,mg/L,5/26/2022,5/26/2022,3,2210010,0.48,,,,140,4,ug/L,3,2210010,0.48,,,212,4,ug/L,5/27/2022,4,2210010,0.0012,,,21.9,0.01,mg/L,11/4/2022,1,165,2210010,0.009,,,40.8,0.1,mg/L,5/25/2022,2,2,2210010,0.002,,,30.6,0.18,mg/L,5/24/2022,1,2210010,,,,64.1,2,NTU,NLA_AZ-10020
